"entryID";"content";"category";"gender";"variantOf";"feminineOf";"phonetic1";"phonetic2";"originatingEntry";"processStatus";"typeModif";"raisonModif";"destinataireModif";"dateModif";"commentaireModif"
"69024";"aveuglette à l'";"functionWord";NULL;NULL;NULL;"a l a v 2 g l E t @";"a l a v 6 g l E t @";"AVEUGLETTE (À L'), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"69181";"bat-l'eau";"commonNoun";"masculine";NULL;NULL;"b a l o";"b a l o";"BAT-L'EAU, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"69195";"battant-l'œil";"commonNoun";"masculine";NULL;NULL;"b a t a~ l 9 j";"b a t a~ l 9 j";"BATTANT-L'ŒIL, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"69223";"belle-d'onze-heures";"commonNoun";"feminine";NULL;NULL;"b E l @ d o~ z @ 9 R @";"b E/ l @ d o~ z @ 9 R @";"BELLE-D'ONZE-HEURES, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"69224";"belle-d'un-jour";"commonNoun";"feminine";NULL;NULL;"b E l @ d 9~ Z u R";"b E/ l @ d 9~ Z u R";"BELLE-D'UN-JOUR, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"69256";"bernard l'ermite";"commonNoun";"masculine";NULL;NULL;"b E R n a R l E R m i t @";"b E R n a R l E R m i t @";"BERNARD L'(H)ERMITE, (BERNARD LERMITE, BERNARD LHERMITE)subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"69258";"bernard l'hermite";"commonNoun";"masculine";NULL;NULL;"b E R n a R l E R m i t @";"b E R n a R l E R m i t @";"BERNARD L'(H)ERMITE, (BERNARD LERMITE, BERNARD LHERMITE)subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"69500";"bouton d'or";"commonNoun";"masculine";NULL;NULL;"b u t o~ d O R";"b u t o~ d O R";"BOUTON D'OR, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"69596";"ç'";"functionWord";NULL;NULL;NULL;"s";"s";"CE1, C', Ç', pron. dém. neutre et particule.";"0";NULL;NULL;NULL;NULL;NULL
"70035";"c'est-à-dire";"functionWord";NULL;NULL;NULL;"s e t a d i R @";"s e t a d i R @";"C'EST-À-DIRE (QUE), loc. adv. ou conj.";"0";NULL;NULL;NULL;NULL;NULL
"70036";"c'est-à-dire que";"functionWord";NULL;NULL;NULL;"s e t a d i R @ k @";"s e t a d i R @ k @";"C'EST-À-DIRE (QUE), loc. adv. ou conj.";"0";NULL;NULL;NULL;NULL;NULL
"70124";"chef-d'œuvre";"commonNoun";"masculine";NULL;NULL;"S E d 9 v R @";"S E d 9 v R @";"CHEF-D'ŒUVRE, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"70502";"clin d'œil";"commonNoun";"masculine";NULL;NULL;"k l e~ d 9 j";"k l e~ d 9 j";"CLIN (D'ŒIL), subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"70873";"coq-à-l'âne";"commonNoun";"masculine";NULL;NULL;"k O k a l a n @";"k O k a l a n @";"COQ-À-L'ÂNE, subst. masc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"72222";"emblée d'";"functionWord";NULL;NULL;NULL;"d a~ b l e";"d a~ b l e";"EMBLÉE (D'), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"72290";"encontre à l'";"functionWord";NULL;NULL;NULL;"a l a~ k o~ t R @";"a l a~ k o~ t R @";"ENCONTRE (À L'), loc. prép. et loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"72388";"entr'aide";"commonNoun";"feminine";NULL;NULL;"a~ t R E d @";"a~ t R E d @";"ENTR(')AIDE, (ENTRAIDE)subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"72389";"entr'apercevoir";"verb";NULL;NULL;NULL;"a~ t R @ a p E R s @ v w a R";"a~ t R @ a p E R s @ v w a R";"ENTRAPERCEVOIR, ENTR'APERCEVOIR, verbe trans.";"0";NULL;NULL;NULL;NULL;NULL
"72390";"entr'axe";"commonNoun";"masculine";NULL;NULL;"a~ t R a k s @";"a~ t R a k s @";"ENTR'AXE, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"72402";"entr'égorgement";"commonNoun";"masculine";NULL;NULL;"a~ t R e g O R Z @ m a~";"a~ t R E/ g O R Z 6 m a~";"ENTR'ÉGORGER (S'), verbe pronom.#vedette2:Entr'égorgement, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"72403";"se entr'égorger";"verb";NULL;NULL;NULL;;;"ENTR'ÉGORGER (S'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"72414";"entr'ouvert";"adjective";NULL;NULL;NULL;"a~ t R u v E R";"a~ t R u v E R";"ENTR(')OUVERT, ERTE, (ENTROUVERT)part. passé et adj.";"0";NULL;NULL;NULL;NULL;NULL
